 PontoGrupo
           1 ;           3
           2 ;           3
           3 ;           3
           4 ;           3
           5 ;           3
           6 ;           3
           7 ;           3
           8 ;           3
           9 ;           3
          10 ;           3
          11 ;           3
          12 ;           3
          13 ;           3
          14 ;           3
          15 ;           3
          16 ;           3
          17 ;           3
          18 ;           3
          19 ;           3
          20 ;           3
          21 ;           3
          22 ;           3
          23 ;           3
          24 ;           3
          25 ;           3
          26 ;           3
          27 ;           3
          28 ;           3
          29 ;           3
          30 ;           3
          31 ;           3
          32 ;           3
          33 ;           3
          34 ;           3
          35 ;           3
          36 ;           3
          37 ;           3
          38 ;           3
          39 ;           3
          40 ;           3
          41 ;           3
          42 ;           1
          43 ;           3
          44 ;           3
          45 ;           3
          46 ;           3
          47 ;           3
          48 ;           3
          49 ;           3
          50 ;           3
          51 ;           2
          52 ;           2
          53 ;           2
          54 ;           1
          55 ;           2
          56 ;           1
          57 ;           2
          58 ;           1
          59 ;           2
          60 ;           1
          61 ;           1
          62 ;           1
          63 ;           1
          64 ;           1
          65 ;           1
          66 ;           2
          67 ;           1
          68 ;           1
          69 ;           1
          70 ;           1
          71 ;           2
          72 ;           1
          73 ;           1
          74 ;           1
          75 ;           2
          76 ;           2
          77 ;           2
          78 ;           2
          79 ;           1
          80 ;           1
          81 ;           1
          82 ;           1
          83 ;           1
          84 ;           1
          85 ;           1
          86 ;           3
          87 ;           2
          88 ;           1
          89 ;           1
          90 ;           1
          91 ;           1
          92 ;           1
          93 ;           1
          94 ;           1
          95 ;           1
          96 ;           1
          97 ;           1
          98 ;           1
          99 ;           1
         100 ;           1
         101 ;           2
         102 ;           1
         103 ;           2
         104 ;           2
         105 ;           2
         106 ;           2
         107 ;           1
         108 ;           2
         109 ;           1
         110 ;           2
         111 ;           2
         112 ;           1
         113 ;           2
         114 ;           1
         115 ;           1
         116 ;           2
         117 ;           2
         118 ;           2
         119 ;           2
         120 ;           1
         121 ;           2
         122 ;           1
         123 ;           2
         124 ;           1
         125 ;           2
         126 ;           2
         127 ;           1
         128 ;           1
         129 ;           1
         130 ;           2
         131 ;           2
         132 ;           2
         133 ;           1
         134 ;           1
         135 ;           1
         136 ;           2
         137 ;           2
         138 ;           2
         139 ;           1
         140 ;           2
         141 ;           2
         142 ;           2
         143 ;           1
         144 ;           2
         145 ;           2
         146 ;           2
         147 ;           1
         148 ;           2
         149 ;           2
         150 ;           1
